paper_id,year,category,title,abstract,keywords,group_num,group_name,topic_id,topic_name,r1_terms,r1_term_count,annot_missing_terms,annot_important_terms,model_r2_terms,model_additional_terms,combined_important_terms
9478,2021,ENGINEERING,Pre-Training With Whole Word Masking for Chinese BERT,"Bidirectional Encoder Representations from Transformers (BERT) has shown marvelous improvements across various NLP tasks, and its consecutive variants have been proposed to further improve the performance of the pre-trained language models. In this paper, we aim to first introduce the whole word masking (wwm) strategy for Chinese BERT, along with a series of Chinese pre-trained language models. Then we also propose a simple but effective model called MacBERT, which improves upon RoBERTa in several ways. Especially, we propose a new masking strategy called MLM as correction (Mac). To demonstrate the effectiveness of these models, we create a series of Chinese pre-trained language models as our baselines, including BERT, RoBERTa, ELECTRA, RBT, etc. We carried out extensive experiments on ten Chinese NLP tasks to evaluate the created Chinese pre-trained language models as well as the proposed MacBERT. Experimental results show that MacBERT could achieve state-of-the-art performances on many NLP tasks, and we also ablate details with several findings that may help future research. We open-source our pre-trained language models for further facilitating our research community.(1)",Bit error rate; Task analysis; Computational modeling; Training; Analytical models; Adaptation models; Predictive models; Pre-trained language model; representation learning; natural language processing,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Bidirectional Encoder Representations from Transformers; whole word masking; Chinese BERT; pre-trained language models; MacBERT; RoBERTa; MLM as correction; ELECTRA; RBT,9,,whole word masking; Chinese BERT;MLM as correction;,,,chinese bert; whole word masking; mlm as correction
9871,2021,COMPUTER SCIENCE,KEPLER: A Unified Model for Knowledge Embedding and Pre-trained Language Representation,"Pre-trained language representation models (PLMs) cannot well capture factual knowledge from text. In contrast, knowledge embedding (KE) methods can effectively represent the relational facts in knowledge graphs (KGs) with informative entity embeddings, but conventional KE models cannot take full advantage of the abundant textual information. In this paper, we propose a unified model for Knowledge Embedding and Pre-trained LanguagE Representation (KEPLER), which can not only better integrate factual knowledge into PLMs but also produce effective text-enhanced KE with the strong PLMs. In KEPLER, we encode textual entity descriptions with a PLM as their embeddings, and then jointly optimize the KE and language modeling objectives. Experimental results show that KEPLER achieves state-of-the-art performances on various NLP tasks, and also works remarkably well as an inductive KE model on KG link prediction. Furthermore, for pre-training and evaluating KEPLER, we construct Wikidata5M(1), a large-scale KG dataset with aligned entity descriptions, and benchmark state-of-the-art KE methods on it. It shall serve as a new KE benchmark and facilitate the research on large KG, inductive KE, and KG with text. The source code can be obtained from https://github.com/THU-KEG/KEPLER.",,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Knowledge Embedding; Pre-trained Language Representation; KEPLER; knowledge graphs; entity embeddings; textual entity descriptions; language modeling objectives; inductive KE model; KG link prediction; Wikidata5M,10,,KEPLER;Wikidata5M,knowledge embedding; knowledge graphs; kg link prediction,knowledge embedding; knowledge graphs; kg link prediction,kepler; wikidata5m; knowledge embedding; knowledge graphs; kg link prediction
9978,2020,COMPUTER SCIENCE,A Primer in BERTology: What We Know About How BERT Works,"Transformer-based models have pushed state of the art in many areas of NLP, but our understanding of what is behind their success is still limited. This paper is the first survey of over 150 studies of the popular BERT model. We review the current state of knowledge about how BERT works, what kind of information it learns and how it is represented, common modifications to its training objectives and architecture, the overparameterization issue, and approaches to compression. We then outline directions for future research.",,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Transformer-based models; BERT model; training objectives; architecture modifications; overparameterization issue; compression approaches,6,,Transformer-based models;,bert model,bert model,transformer-based models; bert model
10108,2020,COMPUTER SCIENCE,SpanBERT: Improving Pre-training by Representing and Predicting Spans,"We present SpanBERT, a pre-training method that is designed to better represent and predict spans of text. Our approach extends BERT by (1) masking contiguous random spans, rather than random tokens, and (2) training the span boundary representations to predict the entire content of the masked span, without relying on the individual token representations within it. SpanBERT consistently outperforms BERT and our better-tuned baselines, with substantial gains on span selection tasks such as question answering and coreference resolution. In particular, with the same training data and model size as BERTlarge, our single model obtains 94.6% and 88.7% F1 on SQuAD 1.1 and 2.0 respectively. We also achieve a new state of the art on the OntoNotes coreference resolution task (79.6% F1), strong performance on the TACRED relation extraction benchmark, and even gains on GLUE.(1)",,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,SpanBERT; pre-training method; masking contiguous random spans; span boundary representations; span selection tasks; question answering; coreference resolution; relation extraction benchmark,8,,SpanBERT;pre-training method,,,spanbert; pre-training method
10509,2022,ENGINEERING,Multi-Scale Dynamic Convolutional Network for Knowledge Graph Embedding,"Knowledge graphs are large graph-structured knowledge bases with incomplete or partial information. Numerous studies have focused on knowledge graph embedding to identify the embedded representation of entities and relations, thereby predicting missing relations between entities. Previous embedding models primarily regard (subject entity, relation, and object entity) triplet as translational distance or semantic matching in vector space. However, these models only learn a few expressive features and hard to handle complex relations, i.e., 1-to-N, N-to-1, and N-to-N, in knowledge graphs. To overcome these issues, we introduce a multi-scale dynamic convolutional network (M-DCN) model for knowledge graph embedding. This model features topnotch performance and an ability to generate richer and more expressive feature embeddings than its counterparts. The subject entity and relation embeddings in M-DCN are composed in an alternating pattern in the input layer, which helps extract additional feature interactions and increase the expressiveness. Multi-scale filters are generated in the convolution layer to learn different characteristics among input embeddings. Specifically, the weights of these filters are dynamically related to each relation to model complex relations. The performance of M-DCN on the five benchmark datasets is tested via experiments. Results show that the model can effectively handle complex relations and achieve state-of-the-art link prediction results on most evaluation metrics.",Computational modeling; Convolution; Semantics; Predictive models; Feature extraction; Knowledge engineering; Computer architecture; Knowledge graphs; knowledge graph embedding; complex relations; link prediction; convolutional network,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,multi-scale dynamic convolutional network; knowledge graph embedding; translational distance; semantic matching; vector space; feature embeddings; multi-scale filters; convolution layer; link prediction,9,,multi-scale dynamic convolutional network;multi-scale filters,multi-scale dynamic convolutional network; knowledge graph embedding; semantic matching; feature embeddings; multi-scale filters; convolution layer; link prediction,knowledge graph embedding; semantic matching; feature embeddings; convolution layer; link prediction,multi-scale filters; multi-scale dynamic convolutional network; knowledge graph embedding; semantic matching; feature embeddings; convolution layer; link prediction
10846,2018,COMPUTER SCIENCE,"The evolution of sentiment analysis-A review of research topics, venues, and top cited papers","Sentiment analysis is one of the fastest growing research areas in computer science, making it challenging to keep track of all the activities in the area. We present a computer-assisted literature review, where we utilize both text mining and qualitative coding, and analyze 6996 papers from Scopus. We find that the roots of sentiment analysis are in the studies on public opinion analysis at the beginning of 20th century and in the text subjectivity analysis performed by the computational linguistics community in 1990's. However, the outbreak of computer-based sentiment analysis only occurred with the availability of subjective texts on the Web. Consequently, 99% of the papers have been published after 2004. Sentiment analysis papers are scattered to multiple publication venues, and the combined number of papers in the top-15 venues only represent ca. 30% of the papers in total. We present the top-20 cited papers from Google Scholar and Scopus and a taxonomy of research topics. In recent years, sentiment analysis has shifted from analyzing online product reviews to social media texts from Twitter and Facebook. Many topics beyond product reviews like stock markets, elections, disasters, medicine, software engineering and cyberbullying extend the utilization of sentiment analysis. (C) 2017 Elsevier Inc. All rights reserved.",Sentiment analysis; Opinion mining; Bibliometric study; Text mining; Literature review; Topic modeling; Latent Dirichlet Allocation; Qualitative analysis; GOOGLE SCHOLAR; WEB; SCIENCE; SCOPUS; COUNTRIES; MODEL,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,sentiment analysis; text mining; qualitative coding; public opinion analysis; text subjectivity analysis; computational linguistics; computer-based sentiment analysis; subjective texts; social media texts; stock markets; elections; disasters; medicine; software engineering; cyberbullying,15,,,text mining,text mining,text mining
10869,2017,ENGINEERING,Knowledge Graph Embedding: A Survey of Approaches and Applications,"Knowledge graph (KG) embedding is to embed components of a KG including entities and relations into continuous vector spaces, so as to simplify the manipulation while preserving the inherent structure of the KG. It can benefit a variety of downstream tasks such as KG completion and relation extraction, and hence has quickly gained massive attention. In this article, we provide a systematic review of existing techniques, including not only the state-of-the-arts but also those with latest trends. Particularly, we make the review based on the type of information used in the embedding task. Techniques that conduct embedding using only facts observed in the KG are first introduced. We describe the overall framework, specific model design, typical training procedures, as well as pros and cons of such techniques. After that, we discuss techniques that further incorporate additional information besides facts. We focus specifically on the use of entity types, relation paths, textual descriptions, and logical rules. Finally, we briefly introduce how KG embedding can be applied to and benefit a wide variety of downstream tasks such as KG completion, relation extraction, question answering, and so forth.",Statistical relational learning; knowledge graph embedding; latent factor models; tensor/matrix factorization models,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Knowledge Graph Embedding; continuous vector spaces; KG completion; relation extraction; entity types; relation paths; textual descriptions; logical rules; question answering,9,,Knowledge Graph Embedding,knowledge graph embedding,,knowledge graph embedding
10945,2015,COMPUTER SCIENCE,SimLex-999: Evaluating Semantic Models With (Genuine) Similarity Estimation,"We present SimLex-999, a gold standard resource for evaluating distributional semantic models that improves on existing resources in several important ways. First, in contrast to gold standards such as WordSim-353 and MEN, it explicitly quantifies similarity rather than association or relatedness so that pairs of entities that are associated but not actually similar (Freud, psychology) have a low rating. We show that, via this focus on similarity, SimLex-999 incentivizes the development of models with a different, and arguably wider, range of applications than those which reflect conceptual association. Second, SimLex-999 contains a range of concrete and abstract adjective, noun, and verb pairs, together with an independent rating of concreteness and (free) association strength for each pair. This diversity enables fine-grained analyses of the performance of models on concepts of different types, and consequently greater insight into how architectures can be improved. Further, unlike existing gold standard evaluations, for which automatic approaches have reached or surpassed the inter-annotator agreement ceiling, state-of-the-art models perform well below this ceiling on SimLex-999. There is therefore plenty of scope for SimLex-999 to quantify future improvements to distributional semantic models, guiding the development of the next generation of representation-learning architectures.",,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,SimLex-999; distributional semantic models; similarity estimation; representation-learning architectures,4,,SimLex-999;similarity estimation,simlex-999,,similarity estimation; simlex-999
11272,2018,COMPUTER SCIENCE,Recent Trends in Deep Learning Based Natural Language Processing,"Deep learning methods employ multiple processing layers to learn hierarchical representations of data, and have produced state-of-the-art results in many domains. Recently, a variety of model designs and methods have blossomed in the context of natural language processing (NLP). In this paper, we review significant deep learning related models and methods that have been employed for numerous NLP tasks and provide a walk-through of their evolution. We also summarize, compare and contrast the various models and put forward a detailed understanding of the past, present and future of deep learning in NLP.",DYNAMIC MEMORY NETWORKS; SENTIMENT ANALYSIS; NEURAL-NETWORKS; REPRESENTATIONS; PREDICTION; SYSTEMS; MODELS; ASK,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,deep learning methods; hierarchical representations; model designs; natural language processing tasks,4,,,hierarchical representations,hierarchical representations,hierarchical representations
15990,2016,COMPUTER SCIENCE,A Primer on Neural Network Models for Natural Language Processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual natural language signals, again with very promising results. This tutorial surveys neural network models from the perspective of natural language processing research, in an attempt to bring natural-language researchers up to speed with the neural techniques. The tutorial covers input encoding for natural language tasks, feed-forward networks, convolutional networks, recurrent networks and recursive networks, as well as the computation graph abstraction for automatic gradient computation.",DISTRIBUTED REPRESENTATIONS,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,neural network models; input encoding; feed-forward networks; convolutional networks; recurrent networks; recursive networks; computation graph abstraction; automatic gradient computation,8,textual natural language signals,textual natural language signals,feed-forward networks; convolutional networks; recurrent networks; recursive networks,feed-forward networks; convolutional networks; recurrent networks; recursive networks,textual natural language signals; feed-forward networks; convolutional networks; recurrent networks; recursive networks
16027,2023,COMPUTER SCIENCE,Efficient Transformers: A Survey,"Transformer model architectures have garnered immense interest lately due to their effectiveness across a range of domains like language, vision, and reinforcement learning. In the field of natural language processing for example, Transformers have become an indispensable staple in the modern deep learning stack. Recently, a dizzying number of ""X- former"" models have been proposed-Reformer, Linformer, Performer, Longformer, to name a few which improve upon the original Transformer architecture, many of which make improvements around computational and memory efficiency. With the aim of helping the avid researcher navigate this flurry, this article characterizes a large and thoughtful selection of recent efficiency-flavored ""X-former"" models, providing an organized and comprehensive overview of existing work and models across multiple domains.",Transformers; attention; deep learning; neural networks,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Transformer model architectures; Reformer; Linformer; Performer; Longformer; computational efficiency; memory efficiency,7,,Transformer model architectures,reformer; linformer; performer; longformer; memory efficiency,reformer; linformer; performer; longformer; memory efficiency,transformer model architectures; reformer; linformer; performer; longformer; memory efficiency
16040,2015,ENGINEERING,From Feedforward to Recurrent LSTM Neural Networks for Language Modeling,"Language models have traditionally been estimated based on relative frequencies, using count statistics that can be extracted from huge amounts of text data. More recently, it has been found that neural networks are particularly powerful at estimating probability distributions over word sequences, giving substantial improvements over state-of-the-art count models. However, the performance of neural network language models strongly depends on their architectural structure. This paper compares count models to feedforward, recurrent, and long short-term memory (LSTM) neural network variants on two large-vocabulary speech recognition tasks. We evaluate the models in terms of perplexity and word error rate, experimentally validating the strong correlation of the two quantities, which we find to hold regardless of the underlying type of the language model. Furthermore, neural networks incur an increased computational complexity compared to count models, and they differently model context dependences, often exceeding the number of words that are taken into account by count based approaches. These differences require efficient search methods for neural networks, and we analyze the potential improvements that can be obtained when applying advanced algorithms to the rescoring of word lattices on large-scale setups.",Feedforward neural network; Kneser-Ney smoothing; language modeling; long short-term memory (LSTM); recurrent neural network (RNN); DYNAMIC-PROGRAMMING SEARCH,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,feedforward neural networks; recurrent neural networks; long short-term memory; LSTM neural network variants; neural network language models; count models; probability distributions over word sequences; large-vocabulary speech recognition; perplexity; word error rate; computational complexity; context dependences; efficient search methods; rescoring of word lattices; advanced algorithms,15,,count models;feedforward neural networks; recurrent neural networks; LSTM neural network variants;perplexity; word error rate;,long short-term memory; lstm neural network variants,,perplexity; count models; feedforward neural networks; lstm neural network variants; word error rate; recurrent neural networks
16116,2021,COMPUTER SCIENCE,"A comprehensive survey on sentiment analysis: Approaches, challenges and trends","Sentiment analysis (SA), also called Opinion Mining (OM) is the task of extracting and analyzing people's opinions, sentiments, attitudes, perceptions, etc., toward different entities such as topics, products, and services. The fast evolution of Internet-based applications like websites, social networks, and blogs, leads people to generate enormous heaps of opinions and reviews about products, services, and day-to-day activities. Sentiment analysis poses as a powerful tool for businesses, governments, and researchers to extract and analyze public mood and views, gain business insight, and make better decisions. This paper presents a complete study of sentiment analysis approaches, challenges, and trends, to give researchers a global survey on sentiment analysis and its related fields. The paper presents the applications of sentiment analysis and describes the generic process of this task. Then, it reviews, compares, and investigates the used approaches to have an exhaustive view of their advantages and drawbacks. The challenges of sentiment analysis are discussed next to clarify future directions. (C) 2021 Elsevier B.V. All rights reserved.",Sentiment analysis; Opinion mining; Machine learning; Lexicon-based; Sentiment classification; Deep learning; FEATURE-SELECTION; IMPROVING ACCURACY; NEURAL-NETWORK; CLASSIFICATION; EMOTION; FUSION; ALGORITHMS; FRAMEWORK; LEXICON; PREDICTION,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,sentiment analysis; opinion mining; internet-based applications; social networks; blogs; public mood analysis; business insight extraction,7,,,social networks,social networks,social networks
16606,2017,ENGINEERING,Enhancing deep learning sentiment analysis with ensemble techniques in social applications,"Deep learning techniques for Sentiment Analysis have become very popular. They provide automatic feature extraction and both richer representation capabilities and better performance than traditional feature based techniques (i.e., surface methods). Traditional surface approaches are based on complex manually extracted features, and this extraction process is a fundamental question in feature driven methods. These long-established approaches can yield strong baselines, and their predictive capabilities can be used in conjunction with the arising deep learning methods. In this paper we seek to improve the performance of deep learning techniques integrating them with traditional surface approaches based on manually extracted features. The contributions of this paper are sixfold. First, we develop a deep learning based sentiment classifier using a word embeddings model and a linear machine learning algorithm. This classifier serves as a baseline to compare to subsequent results. Second, we propose two ensemble techniques which aggregate our baseline classifier with other surface classifiers widely used in Sentiment Analysis. Third, we also propose two models for combining both surface and deep features to merge information from several sources. Fourth, we introduce a taxonomy for classifying the different models found in the literature, as well as the ones we propose. Fifth, we conduct several experiments to compare the performance of these models with the deep learning baseline. For this, we use seven public datasets that were extracted from the microblogging and movie reviews domain. Finally, as a result, a statistical study confirms that the performance of these proposed models surpasses that of our original baseline on Fl-Score. (C) 2017 The Authors. Published by Elsevier Ltd.",Ensemble; Deep learning; Sentiment analysis; Machine learning; Natural language processing; POLARITY; CLASSIFICATION,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,deep learning sentiment analysis; ensemble techniques; word embeddings model; linear machine learning algorithm; surface classifiers; deep features; surface and deep features combination; sentiment classifier,8,,ensemble techniques; word embeddings model; surface and deep features combination,ensemble techniques; deep features; sentiment classifier,sentiment classifier,surface and deep features combination; ensemble techniques; word embeddings model; sentiment classifier
17604,2019,ENGINEERING,Target-Dependent Sentiment Classification With BERT,"Research on machine assisted text analysis follows the rapid development of digital media, and sentiment analysis is among the prevalent applications. Traditional sentiment analysis methods require complex feature engineering, and embedding representations have dominated leaderboards for a long time. However, the context-independent nature limits their representative power in rich context, hurting performance in Natural Language Processing (NLP) tasks. Bidirectional Encoder Representations from Transformers (BERT), among other pre-trained language models, beats existing best results in eleven NLP tasks (including sentence-level sentiment classification) by a large margin, which makes it the new baseline of text representation. As a more challenging task, fewer applications of BERT have been observed for sentiment classification at the aspect level. We implement three target-dependent variations of the BERTbase model, with positioned output at the target terms and an optional sentence with the target built in. Experiments on three data collections show that our TD-BERT model achieves new state-of-the-art performance, in comparison to traditional feature engineering methods, embedding-based models and earlier applications of BERT. With the successful application of BERT in many NLP tasks, our experiments try to verify if its context-aware representation can achieve similar performance improvement in aspect-based sentiment analysis. Surprisingly, coupling it with complex neural networks that used to work well with embedding representations does not show much value, sometimes with performance below the vanilla BERT-FC implementation. On the other hand, incorporation of target information shows stable accuracy improvement, and the most effective way of utilizing that information is displayed through the experiment.",Deep learning; neural networks; sentiment analysis; BERT,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Bidirectional Encoder Representations from Transformers; BERTbase model; TD-BERT model; aspect-based sentiment analysis; target-dependent sentiment classification; vanilla BERT-FC implementation; context-aware representation; pre-trained language models; sentence-level sentiment classification; embedding-based models,10,,Bidirectional Encoder Representations from Transformers; BERTbase model; TD-BERT model; vanilla BERT-FC implementation,td-bert model,,td-bert model; bertbase model; bidirectional encoder representations from transformers; vanilla bert-fc implementation
17909,2021,COMPUTER SCIENCE,Text Data Augmentation for Deep Learning,"Natural Language Processing (NLP) is one of the most captivating applications of Deep Learning. In this survey, we consider how the Data Augmentation training strategy can aid in its development. We begin with the major motifs of Data Augmentation summarized into strengthening local decision boundaries, brute force training, causality and counterfactual examples, and the distinction between meaning and form. We follow these motifs with a concrete list of augmentation frameworks that have been developed for text data. Deep Learning generally struggles with the measurement of generalization and characterization of overfitting. We highlight studies that cover how augmentations can construct test sets for generalization. NLP is at an early stage in applying Data Augmentation compared to Computer Vision. We highlight the key differences and promising ideas that have yet to be tested in NLP. For the sake of practical implementation, we describe tools that facilitate Data Augmentation such as the use of consistency regularization, controllers, and offline and online augmentation pipelines, to preview a few. Finally, we discuss interesting topics around Data Augmentation in NLP such as task-specific augmentations, the use of prior knowledge in self-supervised learning versus Data Augmentation, intersections with transfer and multi-task learning, and ideas for AI-GAs (AI-Generating Algorithms). We hope this paper inspires further research interest in Text Data Augmentation.",Data Augmentation; Natural Language Processing; Overfitting; Big Data; NLP; Text Data,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Data Augmentation; consistency regularization; controllers; offline augmentation pipelines; online augmentation pipelines; task-specific augmentations; self-supervised learning; transfer learning; multi-task learning; AI-Generating Algorithms,10,,,self-supervised learning; transfer learning; multi-task learning,self-supervised learning; transfer learning; multi-task learning,self-supervised learning; transfer learning; multi-task learning
18256,2017,ENGINEERING,Improving sentiment analysis via sentence type classification using BiLSTM-CRF and CNN,"Different types of sentences express sentiment in very different ways. Traditional sentence-level sentiment classification research focuses on one-technique-fits-all solution or only centers on one special type of sentences. In this paper, we propose a divide-and-conquer approach which first classifies sentences into different types, then performs sentiment analysis separately on sentences from each type. Specifically, we find that sentences tend to be more complex if they contain more sentiment targets. Thus, we propose to first apply a neural network based sequence model to classify opinionated sentences into three types according to the number of targets appeared in a sentence. Each group of sentences is then fed into a one-dimensional convolutional neural network separately for sentiment classification. Our approach has been evaluated on four sentiment classification datasets and compared with a wide range of baselines. Experimental results show that: (1) sentence type classification can improve the performance of sentence-level sentiment analysis; (2) the proposed approach achieves state-of-the-art results on several benchmarking datasets. (C) 2016 The Authors. Published by Elsevier Ltd.",Natural language processing; Sentiment analysis; Deep neural network,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,BiLSTM-CRF; CNN; neural network based sequence model; one-dimensional convolutional neural network; sentence type classification; sentiment analysis; divide-and-conquer approach,7,,BiLSTM-CRF; one-dimensional convolutional neural network,cnn; one-dimensional convolutional neural network,,one-dimensional convolutional neural network; bilstm-crf
18484,2020,ENGINEERING,A review: Knowledge reasoning over knowledge graph,"Mining valuable hidden knowledge from large-scale data relies on the support of reasoning technology. Knowledge graphs, as a new type of knowledge representation, have gained much attention in natural language processing. Knowledge graphs can effectively organize and represent knowledge so that it can be efficiently utilized in advanced applications. Recently, reasoning over knowledge graphs has become a hot research topic, since it can obtain new knowledge and conclusions from existing data. Herein we review the basic concept and definitions of knowledge reasoning and the methods for reasoning over knowledge graphs. Specifically, we dissect the reasoning methods into three categories: rule-based reasoning, distributed representation-based reasoning and neural network-based reasoning. We also review the related applications of knowledge graph reasoning, such as knowledge graph completion, question answering, and recommender systems. Finally, we discuss the remaining challenges and research opportunities for knowledge graph reasoning. (C) 2019 Elsevier Ltd. All rights reserved.",Knowledge graph; Reasoning; Rule-based reasoning; Distributed representation-based reasoning; Neural network-based reasoning; INFERENCE; ONTOLOGY; EFFICIENT,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,knowledge reasoning; knowledge graph; rule-based reasoning; distributed representation-based reasoning; neural network-based reasoning; knowledge graph completion; question answering; recommender systems,8,,knowledge graph; knowledge graph completion,knowledge reasoning; knowledge graph; knowledge graph completion,,knowledge graph completion; knowledge graph
18654,2021,COMPUTER SCIENCE,ABCDM: An Attention-based Bidirectional CNN-RNN Deep Model for sentiment analysis,"Sentiment analysis has been a hot research topic in natural language processing and data mining fields in the last decade. Recently, deep neural network (DNN) models are being applied to sentiment analysis tasks to obtain promising results. Among various neural architectures applied for sentiment analysis, long short-term memory (LSTM) models and its variants such as gated recurrent unit (GRU) have attracted increasing attention. Although these models are capable of processing sequences of arbitrary length, using them in the feature extraction layer of a DNN makes the feature space high dimensional. Another drawback of such models is that they consider different features equally important. To address these problems, we propose an Attention-based Bidirectional CNN-RNN Deep Model (ABCDM). By utilizing two independent bidirectional LSTM and GRU layers, ABCDM will extract both past and future contexts by considering temporal information flow in both directions. Also, the attention mechanism is applied on the outputs of bidirectional layers of ABCDM to put more or less emphasis on different words. To reduce the dimensionality of features and extract position-invariant local features, ABCDM utilizes convolution and pooling mechanisms. The effectiveness of ABCDM is evaluated on sentiment polarity detection which is the most common and essential task of sentiment analysis. Experiments were conducted on five review and three Twitter datasets. The results of comparing ABCDM with six recently proposed DNNs for sentiment analysis show that ABCDM achieves state-of-the-art results on both long review and short tweet polarity classification. (c) 2020 Elsevier B.V. All rights reserved.",Sentiment analysis; Deep learning; Convolutional neural network; Long short-term memory; Attention mechanism; CLASSIFICATION; TEXT; CLASSIFIERS; EMBEDDINGS; NETWORK; LSTM,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Attention-based Bidirectional CNN-RNN Deep Model; bidirectional LSTM; bidirectional GRU; attention mechanism; convolution mechanism; pooling mechanism; sentiment polarity detection; long review polarity classification; short tweet polarity classification,9,,Attention-based Bidirectional CNN-RNN Deep Model; attention mechanism,attention-based bidirectional cnn-rnn deep model; bidirectional lstm; bidirectional gru; convolution mechanism,bidirectional lstm,attention mechanism; attention-based bidirectional cnn-rnn deep model; bidirectional lstm
4,2019,ENGINEERING,Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning,"We propose a new regularization method based on virtual adversarial loss: a new measure of local smoothness of the conditional label distribution given input. Virtual adversarial loss is defined as the robustness of the conditional label distribution around each input data point against local perturbation. Unlike adversarial training, our method defines the adversarial direction without label information and is hence applicable to semi-supervised learning. Because the directions in which we smooth the model are only ""virtually"" adversarial, we call our method virtual adversarial training (VAT). The computational cost of VAT is relatively low. For neural networks, the approximated gradient of virtual adversarial loss can be computed with no more than two pairs of forward- and back-propagations. In our experiments, we applied VAT to supervised and semi-supervised learning tasks on multiple benchmark datasets. With a simple enhancement of the algorithm based on the entropy minimization principle, our VATachieves state-of-the-art performance for semi-supervised learning tasks on SVHN and CIFAR-10.",Semi-supervised learning; supervised learning; robustness; adversarial training; adversarial examples; deep learning; DROPOUT,16,AI Fundamental Research,73,Deep Learning and Neural Networks,virtual adversarial training; virtual adversarial loss; local smoothness; conditional label distribution; local perturbation; adversarial direction; semi-supervised learning; entropy minimization principle; forward- and back-propagations,9,,virtual adversarial training;virtual adversarial loss;entropy minimization principle,virtual adversarial training; virtual adversarial loss; local smoothness; local perturbation; adversarial direction; semi-supervised learning,local smoothness; local perturbation; semi-supervised learning,entropy minimization principle; virtual adversarial loss; virtual adversarial training; local smoothness; local perturbation; semi-supervised learning
7,2020,ENGINEERING,A survey on semi-supervised learning,"Semi-supervised learning is the branch of machine learning concerned with using labelled as well as unlabelled data to perform certain learning tasks. Conceptually situated between supervised and unsupervised learning, it permits harnessing the large amounts of unlabelled data available in many use cases in combination with typically smaller sets of labelled data. In recent years, research in this area has followed the general trends observed in machine learning, with much attention directed at neural network-based models and generative learning. The literature on the topic has also expanded in volume and scope, now encompassing a broad spectrum of theory, algorithms and applications. However, no recent surveys exist to collect and organize this knowledge, impeding the ability of researchers and engineers alike to utilize it. Filling this void, we present an up-to-date overview of semi-supervised learning methods, covering earlier work as well as more recent advances. We focus primarily on semi-supervised classification, where the large majority of semi-supervised learning research takes place. Our survey aims to provide researchers and practitioners new to the field as well as more advanced readers with a solid understanding of the main approaches and algorithms developed over the past two decades, with an emphasis on the most prominent and currently relevant work. Furthermore, we propose a new taxonomy of semi-supervised classification algorithms, which sheds light on the different conceptual and methodological approaches for incorporating unlabelled data into the training process. Lastly, we show how the fundamental assumptions underlying most semi-supervised learning algorithms are closely connected to each other, and how they relate to the well-known semi-supervised clustering assumption.",Semi-supervised learning; Machine learning; Classification; UNLABELED DATA; RANDOM FOREST; MANIFOLD REGULARIZATION; ROBUST; CLASSIFICATION; ALGORITHM; MACHINE; SOFTWARE; DROPOUT; GRAPH,16,AI Fundamental Research,73,Deep Learning and Neural Networks,semi-supervised learning; neural network-based models; generative learning; semi-supervised classification; semi-supervised clustering assumption,5,,,semi-supervised learning; neural network-based models; generative learning; semi-supervised classification,semi-supervised learning; neural network-based models; generative learning; semi-supervised classification,semi-supervised learning; neural network-based models; generative learning; semi-supervised classification
